Column1;Page Url;date-post;Text;Date Stay;title-text;nama-responden;rev;Aspek
135;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2325-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;I can't fault the his hotel, from the staff to cleanliness to the amazing food in the restaurabts and room service! The hotel is brand new and has so much to offer. We were fortunate to be fitted in for a 2 hour spa treatment that was unreal, definitely worth a visit! The restaurabts offer a great variety of food and the roof top bar has great views, music and cocktails. Absolutely loved our stay at Double Six and will hopefully be back soon.; ; ; ;Positive;
136;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or120-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I can't speak highly enough about this hotel. My family visited for recently for 5 nights and had a deluxe family suite. The room was huge, with two separate bedrooms and a small living area, an expansive balcony and 180 degree ocean views. Very comfortable bed with terrific room amenities. The staff were exceptional, from Gede the Operations Manager down to the people servicing room and everyone in between, nothing was too much trouble and all were most friendly, helpful and professional. We booked one of the rooftop bar seating areas to watch the sunset one night and it was a terrific space to take in the sunset. The breakfasts were great with a wide variety of international and local food. The Sling Bar with its specialty cocktails was a highlight. The hotel is; …"; ; ; ;Positive;
137;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or255-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;John G wrote a review May 2019;I checked into my deluxe beach view suite and the staff treated me like a princess the whole weekend! Smooth check in process, the butler team took such a good care of all wishes I had. The SPA treatment was absolutely amazing and I did not need to worry about anything for my whole time. Definitely take part at sunrise rooftop yoga and treat yourself with an evening at plantation grill, where double six is bringing you back into the 60s and providing a fantastic luxury experience! The food and wine were deliciouse and the service was absolutely perfect. I will definitely come back. If you want to have a perfect luxury experience in Seminyak, then this is the place to go.;Date of stay: May 2019;Amazing;John G;Positive;
138;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2355-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Mars V wrote a review Jan 2015;I didn't get to stay here but did a full inspection of the resort and had dinner at the restaurant. It's rooms are pretty much all the same just depends really on the view that you have. They are bigger than your typical room and very luxurious. The rooms only have king sized beds with a sofabed to have a twin bed room you'd need to book a two bedroom, which is great if it's a family stay. The rooftop is stunning, would be great to have some cocktails while watching a sunset. The departure lounge is great if you have a late flight, they even include selected alcohol. The pool is quite big (120m) and changes colour at night. The spa looks amazing differently book in for a treatment while you're there. On my next stay in Bali this is where I'll be staying.;Date of stay: December 2014;Second Stay just as good as the first. Thanks Double Six;Mars V;Positive;
139;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2575-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I don't normally review where I havent stayed but after an inspection of this property for a potential investment, I feel that I have to share my observations. Hubby and I both agreed that we will be staying here on our next visit as we both fell in love with this Hotel. This Hotel is absolutely beautiful.Well positioned on the beach and near many great restaurants. The room decore is very luxurious with everything being of high quality and pleasing to the eye. Opulent! The rooms are very generous in size with some smart designs such as the computer desk running across the back of the bedhead. The bathroom would have to be one of the most spacious and well designed areas we have ever seen. Hubby and I liked both the display rooms we were shown. One with private pool and the; …"; ; ; ;Positive;
140;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or220-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;farm121 wrote a review Jun 2019;"I had such an amazing experience at this hotel. I arrived as a solo guest and from the minute I was picked up from the airport I was so impressed. I had arranged a $30 transfer to the hotel and I was greeted with a bottle of water and a cold towel which was a really nice touch. The lady who greeted me at the hotel took me straight to my room even though I arrived a few hours prior to check in. It was a very informative check in and I liked how it was done in room. I was lucky enough to be upgraded to a suite with direct access to the pool. The room was amazing and I could not fault it. The butler then arrived to my room with a welcome cocktail and showed me around the room. The lagoon bar staff were friendly and made delicious cocktails. The other staff at the hotel were all; …";Date of stay: June 2019;Western oasis in Bali;farm121;Positive;
141;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or20-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Lee B wrote a review Feb 2020;"I have been to many 5 star hotels.We stayed at this hotel for 6 nights. The bathroom walls was cracked open and it was falling apart and was moulded. The food was not five star. We ordered chicken mushroom pasta at the restaurant and it looked like they just put pasta with milk together. There was no chicken or mushroom.The other tourists staying there were very racist towards us and were complaining about us swimming in the pool just because the pool was outside there balcony they thought that it was only there pool which than the manager clarified we were allowed to swim. They were nice to there own kind but coz we look different we were getting evil stares and were targeted and felt very uncomfortable.The staff at reception and spa were very nice, friendly at first but once; …";Date of stay: February 2020;Ideallic honeymoon hotel!!!!;Lee B;Negative;
142;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2595-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;315Susan wrote a review Jun 2014;"I have often thought I should write a review on places I have stayed but haven't done it....but this si different. We arrived at Double-Six and was greeted by Dheeraj, what an amazing host, we were shown around the resort and then to our room, showing us all the facilities and making sure we were settled, we started to relax from that moment on. The food and service could not be matched anywhere, let alone the cocktail list, I consider myself a cocktail connoisseur but some of these mixes I had never had before and they were amazing. We were lucky enough to be there when the spa opened and had a one hour massage...oh my...just walking in there made you realise you were in heaven, the massage was amazing and would highly recommend it. Had dinner at the Italian Restaurant and; …";Date of stay: June 2014;Luxury;315Susan;Positive;
143;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or105-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;I have recently returned from Bali where I stayed at the Double Six resort in Seminyak . It was a treat staying there and I can highly recommend this hotel. The room was AMAZING and our Butler did everything possible to make our stay memorable. All the staff were exceptionally friendly and made us feel so welcome . The pool area was beautiful and the beach facilities were excellent. We were able to order food and drinks on the beach from the resort. Daily breakfasts were outstanding and the buffet on the rooftop was exceptional. The location was good and we were able to walk to Double Six Road to nearby shops and restaurants.This resort made our holiday in beautiful Bali extra special and I look forward to returning next year . Look no further than the Double Six Resort !; ; ; ;Positive;
144;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2550-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I have recently sent an email direct to the Double Six Hotel on their contact us section to enquire about rooms upgrades and in particular their private pool rooms. As I was looking to purchase an opening special price through Luxury Escapes and it was important for me to know if we could pay to upgrade to another room when we were ready to make a booking. It has now been 4 days since I sent the email and still no response. Unfortunately the special deal that was on offer through Luxury Escapes has now lapsed and is no longer available. I understand that this fabulous looking resort will be inundated with visitors in its early days but as a regular visitor to Bali it would have been great to experience this new hotel however if the communication between hotel and client is not; …"; ; ; ;Negative;
145;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or315-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I have stayed in several hotels in Seminyak over the last 5 years and Double Six is by far the best hotel in Seminyak! The accommodation and room layout,amenities and Butler service and fantastic. What is extremely impressive is the service and attention to detail. The staff record your preferences and and special requirements so that all staff are aware of what you require so that they are always 1 step ahead. The a la Carter all you can eat breakfast is sensation and no request is to difficult for the staff. If they do not have something you request, they will do their best to get it for you for the following day. All the staff are extremely warm and friendly and do all that they can to make sure you have a great stay. I can’t recommend this hotel highly enough and; …"; ; ; ;Positive;
146;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2430-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;phil3194 wrote a review Nov 2014;"I have traveled the world and stayed in some amazing hotels - but this hotel is without a doubt one of my favourites! The rooms are absolute luxury! The attention to detail is first class - the hotel offers ample complimentary water, delicious complementary fine teas, a turn down service - where they even pop your slippers beside the bed with a bath mat, a king size bed with luxury pillows, there is even a television in the bathroom near the free standing bath! I could go on! This is only the room! The staff - from check in, housekeeping, poolside and the restaurants were all amazing! The service was first class. The hotel's dining and spa experience were also fantastic. Oh - and you need to check out the roof top bar! Thank you Double Six Luxury Hotel for an amazing holiday!; …";Date of stay: November 2014;Great roof top bar - average Italian restaurant;phil3194;Positive;
147;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2545-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I haven't stayed here yet, but felt compelled to write a review of the excellent service I have received so far. I also purchased a 8 night luxury escapes voucher. Upon receiving the voucher I emailed the reservations team email address exactly as advised per the voucher. Initially I received an automated reply saying they would respond within 48hours. I have booked for dates next year and was very delighted when I received confirmation back of my booking within 24 hours. I have found the service to be excellent and they were most helpful with my questions via email. If you have a voucher and email Double Six reservations as per the address provided on the voucher then you should have no issues. Just be patient as I'm sure they have been been super busy with the voucher; …"; ; ; ;Positive;
148;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or85-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;YarraVictoria wrote a review Nov 2019;"I honestly couldn’t recommend a better hotel to stay at! The rooms were immaculate, the staff so very polite and helpful. My partner &amp; I stayed for 5 nights, the buffet breakfast was the nicest we’ve ever had. Location is great, perfect if you want a relaxing holiday you have everything you need at the hotel. You don’t have to travel far when looking for places to eat - the Plantation Grill located at double six is where I experienced the best beef fillet I have ever eaten! The sunset roof top bar is the perfect place to sit back and watch the sun go down sipping on cocktails &amp; eating some delicious food! Great location, restaurants and small strip of shops are only a 3 minute walk. Perfect for some light shopping &amp; there’s a minimart right on the corner! Plus don’t forget; …";Date of stay: November 2019;First time foray to Bali;YarraVictoria;Positive;
149;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or20-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I just got back from three days at the stunning Double Six hotel. I booked in for a few days before heading off to a retreat and happened to be there for my birthday. The facilities are stunning - my room was HUGE with the most wonderful bathtub and view of the ocean. Going to sleep each night listening to the Seminyak surf was a dream. Service from the airport transfer to the front desk to room service couldn't have been more attentive and friendly. I had quite a long treatment in the spa and that was pure bliss. My only complaint is that this is quite a PARTY hotel and best if you are looking to drink and have fun. It is NOT great for relaxing. The hotel is located on the beach and each night I was there there was a VERY loud (though very good) band that played from maybe; …"; ; ; ;Positive;
150;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2395-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;I really enjoyed this hotel! Huge interconnecting rooms for 5 of us with great bathrooms. We loved the breaky everyday and we could order as much as we wanted. We had two meals at the italian restaurant which were very nice, especially the italian donuts! The pool was beautiful and shaded by trees in the afternoon, and beach easy to get to as well. Would definitely stay here again.; ; ; ;Positive;
151;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2550-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Jane P wrote a review Aug 2014;I recently stayed at Double Six, Bali, Seminyak for about 17 days. I have never experienced such luxury, comfort, courtesy and pleasure. The rooms are immaculate, the staff are so helpful and they all go to great lengths to make you feel welcomed and comfortable. The inclusive breakfast and the culinary experience is exemplary. You tell them at breakfast what you would like to eat, and, as a vegetarian, I have never felt so satisfied Max Lynch;Date of stay: August 2014;Would give 10 stars if I could!;Jane P;Positive;
152;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or20-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I recently stayed at the double six hotel in Seminyak for my first overseas trip &amp; I couldn’t possibly recommend this place more! The hotel itself is immaculate, the rooms are spacious &amp; comfortable &amp; the views incredible. The highlight for me though was the hotel staff - so kind &amp; caring &amp; helpful - all knew us by name &amp; were overly accommodating to our every need. The manager “Clara” &amp; the pool waiter “Apri” made our holiday that much better with their service - be sure to give them a cuddle!"; ; ; ;Positive;
153;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2350-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Carlita G wrote a review Jan 2015;"I recently stayed at the Double Six Luxurious Hotel with a friend for 8 nights, yes it is extremely luxurious,the rooms are beautifully appointed, the amenities were fabulous, the Day Spa awesome and the staff could not have been more helpful. The deal we had was great. Unfortunately that's were the good bits end. The noise and music from the surrounding beach bars and clubs is never ending, music is still playing at 6.00 am most mornings, when I mentioned this I was told that the Hotel had agreements with them to finish playing by midnight, I am guessing the agreements are not being adhered to. I would suggest requesting a room at the far end of the hotel. Breakfast disappointing, the staff could not have been nicer but the service was extremely slow, I asked for a juice 5; …";Date of stay: January 2015;Outstanding, as always!;Carlita G;Positive;
154;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2445-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Theresa C wrote a review Oct 2014;I recently stayed at the Double Six Luxury Hotel in Seminyak, the rooms are large and beautiful, the hotel is very clean and stylish, the staff are very attentive and polite. the place is tyled to perfection so everything is very nice. Maybe too nice.... If there is such a thing, I just felt the hotel lacked soul and the bali experience, I felt I could have been staying in any quality hotel in australia. It does not have Bali inspired decor or garden that usually induce a feeling or serenity and harmony. I cant pcik anything wrong with the place except that it did not inspire me to want to spend time thier during the day.;Date of stay: October 2014;Absolutely Amazing;Theresa C;Positive;
155;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2560-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I recently visited double six luxury hotel seminyak and must say out of all my worldly travels it was by far the most luxury stay I have had . Planning my trip to bali I only initially booked for two day and was not sure what to expect , wow has this trip blown me away now I have stay at double six luxury hotel for a total of six weeks just never wanted to leave . what more could I ask for the amazing room and gigantic bathroom with a 24 hour room butler , the service is friendly the food is exceptional and the reception staff were so friendly no stop smiles fluent English and simple go to all lengths to make my stay enjoyable . On every level this hotel is great and will recommend to everyone I know and will surely be back at double six luxury hotel this year , Thank you to; …"; ; ; ;Positive;
156;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2440-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Quokka_too wrote a review Oct 2014;"I stayed at the double six hotel with my wife for 7 nights commencing 20th ocober and we were overly impressed with the friendly and smiling staff, the facilities were first class and not to mention the restaurant seminyak Italian. Breakfasts were delightfull all food had imagination and great taste. Needless to say the dinner food were of such a high standard that this was a highlight of our stay. The rooms are spacious and large bathroom with separate male female vanity with a bench separating.The room was on the ground floor with a sweeping view of the pool and overllooking the beach, sitting on the private veranda was relaxing and watching the sunset. The only down size was the pool design needed steps to enter the pool as persons with injuries would and did have; …";Date of stay: October 2014;Simply Superb!;Quokka_too;Positive;
157;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2415-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Deearne B wrote a review Nov 2014;"I stayed at the lovely Double Six Luxury Hotel from 29th Oct - 7th Nov. Oh what a dream. I had upgraded to a lovely room facing the ocean, my only complaint would be the noise form the restaurant in the evenings as we were right next door, but easily solved by closing the door! The facility was ""A Grade"" with beautiful Hermes products to use in the bathrooms, oh and the bath with TV over was ooooohhh lalaaaa.... The breakfast menu, where do I start with a journey around the world for breakfast, I went to a different place every day, and the service was consistently wonderful and full of smiles. I love it when the staff look and act happy in their work! The pool was everything I dreamed and I spent many an hour lazing in there, it was honestly a shame to go out to; …";Date of stay: November 2014;Amazing;Deearne B;Positive;
158;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or290-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I stayed at this hotel with my family in Feb. Pros There are so many, it really was a nice hotel and not somewhere we'd normally stay so was a pleasant change. -The staff in all circumstances were fantastic. Little touches like putting our two rooms as close together as possible (1 was a pool view, 1 wasn't) Check in and check out were super easy, bar and restaurant service was great -The breakfast is standout. They have a huge free menu with all kinds of different options as well as many drinks and coffee it was delicious -The rooms are HUGE and all the amenities and more. (need to find out where that duvet was from it was next level.) Cons -Location was a bit of a pain. If you are an explorer this really isn't ideal. To be fair it's only a few dollars in a taxi to get; …"; ; ; ;Positive;
159;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or320-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;I stayed by myself at this great hotel and it was perfect! Stayed in many 5* hotels, but did not experience this service level anywhere! From airport pick up to checkout, all 5*! Breakfast was delicious and fortunately not a buffet. Only on Sunday there is breakfast buffet and that is the only thing that could have a bit of upgrade with the setup and food quality. Location, rooms, pool all great and very well maintained. Furtheron, cannot wait to get back here! Hope to visit next year again.; ; ; ;Positive;
160;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or10-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;I stayed here for 2 nights and I wished I stayed there for longer. The junior suite I stayed in was spectacular 5 star all the way. The customer service from the time you check in till the time you Leave is exceptional. All the staff there are polite and very welcoming. The hospitality was amazing and the breakfast was delicious from different varieties. The spa was so relaxing and the massage Was definitely 5 star. The rooftop bar is spectacular to watch the sunset with a panoramic view. The beach is right across the road which was nice to go for a evening stroll. I want to say a big Thank you to all the staff and will be recommending your hotel to my friend and family.; ; ; ;Positive;
161;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2380-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Tahiti16 wrote a review Dec 2014;i stayed here in December for 5 nights. I am a travel agent, and I have visited Bali many times. This is by far the best resort I have stayed at in Bali, and probably close to the best resort I have ever stayed at. The quality of the rooms is outstanding, so spacious and comfortable. Staff so friendly and professional, and location near impossible to beat. definitely a 5 out of 5, and I hope to stay again.;Date of stay: December 2014;Stunning Stunning Stunning!;Tahiti16;Positive;
162;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or115-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;DAS1 wrote a review Oct 2019;I stayed in this hotel for 5 nights. Nice hotel with lovely helpful staff. Rooms are huge and beds are comfy.The Plantation Grill restaurant located within the hotel is very good, I would recommend it. Buffet breakfast is really good, however only served on two days a week. On the other days the hotel offers an al la carte menu with significantly smaller portions. The location of the hotel is okay. This hotel isn't really 'luxury' as I found the pool lounge chairs to be very dated, the hotel/bathroom area smelt like sewage. The beach area is terrible, it's a small area located across a very busy road on a very busy public beach. Overall it was a good day, purely because we were busy exploring Bali 90% of the time, so the hotel served as a good base.;Date of stay: October 2019;Great Hotel and service;DAS1;Positive;
163;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2455-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I stayed there in August for three nights, the resort was relatively new, I guess around two months after the opening. I loved the lay out of the room and the interior, the suite is very spacious with a huge bathroom and a nice balcony area. They use hermes for the bathroom amenities which is really cool. However, the setback of the room is that the human sensor in the room was too noisy for a light sleeper person like me, I complained to the management and they fixed it but it was only temporary and i could hear the annoying noise every time i was in the room for my whole stay. The resort is too modern for me, no balinese touch at all but location wise is not bad and it's within walking distance to la plancha and champlung on the beach where you can chill out and listen to the; …"; ; ; ;Positive;
164;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or260-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Tanya B wrote a review May 2019;"I think the final moments in a hotel truly sums up the service they provide so I will start at the end... After checking out at 12 noon we were taken to a very comfortable, air conditioned owner's lounge to relax and wait for our taxi. Staff were on hand to assist and serve complementary drinks and snacks. Bearing in mind that we were staying in the hotel on a bed and breakfast basis this is exceptional service and far different to most hotels who just move on the the new customers once you have paid your bill. Our stay throughout was superb. We had a suite which was gorgeous with big bathroom and very comfortable super sized bed, breakfast was as much as you wanted but served to order which gave a better quality of food and less of a canteen feel in my opinion. We ate both at; …";Date of stay: May 2019;Beautiful Place to Stay;Tanya B;Positive;
165;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2300-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Alan W wrote a review Feb 2015;I visit Bali at least 4 times a year, this is our 3rd stay at the Double Six in 6 months .The 2 Restaurants they have are The Seminyak Italian and The Platation Grill , they would be by far the best Restaurants in Bali . Double six provides many category choices of room types and every room type is very spacious .You can not fault the staff in all areas they are helpful and friendly . We have traveled all over the world and stayed in many 5 star hotels and the Double Six is up there with the best in the world .;Date of stay: November 2014;Super Service from Hotel Staff;Alan W;Positive;
166;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or265-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;I visited hotel with my wife in April it is the most stylish hotel in seminyak. The room was very luxurious and everything was there is double they've also welcome you with a special drink the check-in process was very good the most interesting part is our room is Ocean View it was amazing to stay here. The team was very cooperative and the staff is very excellent thank you very much for making our holiday memorable; ; ; ;Positive;
167;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2530-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;perth-aussie-couple wrote a review Sep 2014;"I was a bit nervous booking this hotel as when I did there were no reviews available as it hadn't even opened yet. Well booking Double-Six was the best decision. Location was between Seminyak and Legian which was very convenient. Firstly the staff were amazing! They always said hello and gave you eye contact with a smile. The manager greeted us a number of times to check all was well. The room we had was beyond my expectations. Definately go for the Ocean View room and specify you want a room furthest away from the neighbouring hotel the Coco Club as they have annoying loud music playing every afternoon. Our room (320) was great. In room wifi was excellent - my husband said it was quicker than what we have at home. The restaurant - wow! Beautiful breakfast each day - the; …";Date of stay: August 2014;Simply Suberb!;perth-aussie-couple;Positive;
168;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or305-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;dave c c wrote a review Apr 2019;I was catching up with friends from the Uk and the Double 6 was our choice for a fantastic 3 night stay. Masses of space,large balcony and a great A la carte brekky menu opposite the beach and a short hope to Seminyak sq. Would recommend this to all my friends and Family and will be back again soon!;Date of stay: April 2019;a fantastic holiday at double 6;dave c c;Positive;
169;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2415-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;138JoeS wrote a review Nov 2014;"I was fortunate to have stayed at Double-Six in June during the pre opening period and have this weekend returned for a 2 night stay. The points that make Double-Six stand out from many hotels is the enthusiasm of all the staff, from your personalised butler on hand to help with any request, to the buggy boys that drive you along the beachfront to Chez Gado Gado, The Breezes Spa and Ku De Ta - great fun. I really enjoyed the food experience at Seminyak Italian Restaurant for both breakfast and dinner.... with breakfast included in my rate you were able to enjoy fresh a la carte experience - freshly made fruit and vegetable juices and entre's you would expect at a health retreat, to a variety of great main courses.... I had never tried 64 degree eggs before...a must. You can; …";Date of stay: November 2014;Great Luxury Escape Value;138JoeS;Positive;
170;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2605-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I was lucky enough to experience Double-Six Luxury Hotel before opening and when still under construction - I was a member of the first group to stay at this amazing property. Staying with a group of friends, we enjoyed experiencing the Deluxe Pool Access Luxury Suites which front onto the 120mt swimming pool. To have your own butler there to assist with any need you may have was a delight however the suites were amazing and I would rate as the ""best value"" suites in Bali. Great size, extremely comfortable (you dont want to leave your room), beautiful large bathroom (nearly as large as your bedroom area) with flatscreen TV so as you can watch 62 channels whilst enjoying a luxurious bath in your deep bath tub. To wake up in the morning and to be able to look out over the ocean; …"; ; ; ;Positive;
171;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or315-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;vdelcastillo wrote a review Mar 2019;"I went for a weekend by myself and felt very comfortable here. I loved my room, it was 3rd floor with (slight) partial ocean view. I did not pay extra for full ocean view, don’t need it. Had a nice balcony with cool furniture on it. Make sure you stay on the side of the hotel that is not next to Cocoon hotel, it blares music like a nightclub. It’s not beach-front, there is a small (but busy) road between the hotel and the beach. If beach is really important to you, this might not be your favorite place. There are lots of little bars/clubs on the beach, which also play loud music until about 10pm (no big deal). The pool is adequate and there is an outdoor bar with VERY good poolside service. Concierge arranged a day trip for me to Ubud, worked out great and reasonable price. The; …";Date of stay: March 2019;Wonderful experience;vdelcastillo;Positive;
172;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or40-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;amandajmason123 wrote a review Jan 2020;I will stay here again! I didnt want to leave! the staff were so helpful and friendly. the ocean view was to die for and the rooms themselves were so clean and luxurious. The location is perfect and close to the markets!;Date of stay: December 2019;AJM;amandajmason123;Positive;
173;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2315-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Adriana M wrote a review Feb 2015;I work for flight centre and went for a work trip this place is sensational on every aspect all the lead in rooms come with TVs in the bathtub and all have balconys I have stayed in many nice places around the world and this is at the top of my list not only was the resort beyond amazing the staff where absolutely incredible in every way possible I will be recommending this propery to my clients and any other reading this review if you plan a trip to Bali stay at the double six I promise you will not be disappointed.;Date of stay: February 2015;Absolute Luxury;Adriana M;Positive;
174;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or95-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Samantha wrote a review Nov 2019;I would highly recommend Double six the staff are friendly and make you feel at home. Traveling with my family who are Gluten intolerant the Double six was amazing offering plenty of Gluten free options nothing was to much trouble for them , the hotel was very relaxing and we loved our stay here;Date of stay: November 2019;Honeymoon;Samantha;Positive;
175;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or2350-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html;Ryan R wrote a review Jan 2015;"I’ve been lucky enough to stay a couple of times for work and decided to finally have a holiday at Double Six over the break. Travelled with my partner, mother and some friends for 10 nights. Without exception all were thoroughly impressed, which was a big tick considering the diversity of the group. Mum and her mate seemed to get to breakfast earlier and earlier – I didn’t realise that it was humanly possible to consume an eight plus course breakfast – but heh, they were happy! A girlfriend who initially took some convincing to travel to Bali is a complete convert and will definitely be returning to Double Six, no doubt with entourage in tow. For myself, I know it’s all be said here already, however the staff, the rooms, the location, the facilities, the sunsets, all; …";Date of stay: November 2014;Exceeds expectations! Luxury at its best.;Ryan R;Positive;
176;https://www.tripadvisor.com/Hotel_Review-g469404-d6556373-Reviews-or200-Double_Six_Luxury_Hotel_Seminyak-Seminyak_Kuta_District_Bali.html; ;"I’ve visited Bali many times and I had no idea about this hotel - I thought it might be a little too modern and cool for my family holiday. Wow we were impressed. From the moment we arrived we were treated like VIP guests and this continued throughout our stay. There is no waiting in reception to check in, this is done in the privacy of your room. The butler arrived a short time later with our welcome drinks and optional shot of vodka. The butler helps unpack bags, takes your ironing and is there 24/7 on call - we really only used the service when we needed it for towels, food, ironing and to have our room cleaned. The atmosphere is great, down at the pool music plays all day (nothing offensive) it was only my 12 year old son and I staying. I could watch him surf with the surf; …"; ; ; ;Positive;
